Sample,Sample type,Experiment,Virus status,Timepoint,Treatment,IL-2ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCFG-b
Unknown11,Whole sample,2,Not infected,48,Not treated,3.359556376,969.1532417,40.13946459,1128.463598,7.161036392,13.60414019,289.0478907,88.56619536,6.64310248,34.89475735,139.0932434,81.91623018,40.39953581,7.496948242,1.324967096,520.5516183,8.581695893,106.8910736,2.332474272,0.495720227,0.480795956,2.066439205,49.66853185,5.999450684,28.80525308,35.54122316,1065.322583,0.233154297,2.337766358,700.3670998,2726.47466,16.23346931,0.486845239,439.0015507,246.8440958,9411.020672,5.234973545,0.359420355,6.061440064,6.725167673,3.086142647,137.0763118,45.32806726,10.5676821,0.000159573,1.961171001,31.82549403,13479.97032
Unknown12,Whole sample,2,Not infected,48,Not treated,3.556213963,2495.429735,23.69472208,1720.951117,6.529655499,20.6674349,237.8326003,67.96476281,6.814099018,24.06218464,123.8384249,108.5993563,32.69825496,0.527821948,1.671250548,1206.294235,8.399946114,58.10402305,3.096298805,0.553081968,0.537082151,2.326960885,35.44994679,116.0648792,24.77480857,33.75228764,812.4029002,0.016634667,2.464193399,755.7264011,21961.31804,12.8364497,0.272849687,411.0691982,247.9731895,7218.292044,4.245665678,0.379690796,6.278325829,8.771895888,2.398491744,146.664504,32.62020114,16.2143979,0.576336288,2.291054695,24.29153869,7635.484464
Unknown13,Whole sample,2,Not infected,48,Not treated,8.146685816,2537.757853,88.42406876,5792.625741,15.7790474,84.43744242,422.6189779,2091.423715,41.55080395,217.7032703,339.524152,163.7222628,55.70580626,7.496948242,2.88894917,1327.707358,17.22128558,107.7343371,6.019729876,1.983507166,3.971421958,4.554497523,52.45086762,144.0857306,72.53894289,100.7102898,1908.267768,0.199932125,5.400516183,923.2257046,15080,37.5712486,0.925876908,905.5049247,481.5559796,24322.89555,14.52054073,0.420341912,15.05757756,12.88346058,13.3255501,228.1112679,67.74450199,19.37387462,1.200543204,3.854873713,35.24424016,33964.83603
Unknown11,Whole sample,2,Not infected,48,Not treated,3.6053905,892.8437383,39.549737,1089.296302,6.31546713,15.74110933,302.2037078,80.67446788,6.984452012,35.40167361,135.8386295,80.24351617,41.6701465,7.496948242,1.569940768,466.730187,7.11885539,102.3276876,2.441832766,0.553081968,0.480795956,1.872071291,47.45197502,51.71169824,31.46529203,34.10883617,997.8952762,0.016634667,2.295431242,798.0097373,3718.264857,15.76253697,0.272849687,520.8314269,244.5741513,8959.214404,4.836996072,0.298851554,6.206039886,7.646594767,2.856045455,133.611333,36.82746378,12.73973719,0.000159573,1.465532372,33.97981146,12395.79714
Unknown12,Whole sample,2,Not infected,48,Not treated,3.507042237,2616.895808,26.55742757,1916.460092,8.180814146,20.37481196,245.6168422,69.67196582,6.814099018,25.18990421,154.1877675,122.7250443,32.30231231,2.497230385,1.96451456,1062.133032,9.125221073,60.73335682,3.368273845,0.610124566,0.996299039,2.294315374,34.51445043,122.3297894,29.92342476,35.54122316,833.5342546,0.11306567,2.756070515,933.0818424,15255.78253,13.01373739,0.704915336,378.9531554,261.2336615,7952.801241,7.47003248,0.318998633,6.56738016,8.324814756,2.856045455,151.9876916,41.68748338,15.41780924,0.716101117,2.785326734,25.06248609,7730.792915
Unknown13,Whole sample,2,Not infected,48,Not treated,9.038604105,2246.9568,78.62119116,5198.653408,14.08239061,72.5602818,382.8149229,1885.615727,37.35413298,202.0487288,301.3642394,150.9021423,53.51169239,7.496948242,2.660341426,1290.869277,16.01203483,106.0480582,5.426119181,1.713905265,3.971421958,3.681859012,47.21624008,150.2574547,61.49494609,108.4565122,1769.601573,0.199932125,4.941847766,811.4115047,15080,34.62459808,1.374205253,932.7962191,449.4080947,20051.56992,14.52054073,0.440719519,13.33425522,14.35783982,12.01397554,218.5104151,68.43217559,16.4792904,1.406574295,4.10153681,37.26337181,34337.42995
Unknown23,Margin,1,Not infected,48,Not treated,2.720990011,1128.335651,34.88203563,2289.929906,4.038366906,2.67340611,490.4611533,67.10484106,5.249027643,106.0286884,72.19150538,14.10427846,131.4554203,7.496948242,1.064705667,2670.375065,6.934470841,416.6274854,1.453635393,0.321188802,1.045593262,2.196514057,22.09139647,5.999450684,19.41282488,47.7073965,1497.884067,0.016634667,1.690964194,138.9568386,1392.443131,6.983240283,0.486845239,246.4913076,289.3759997,2240.529475,3.086167584,0.2386967,3.523166675,15.08977126,1.318335262,79.14654288,19.49023438,8.917343675,1.870849609,3.361405468,86.3754928,8852.323779
Unknown23,Margin,1,Not infected,48,Not treated,2.819170934,1132.511528,33.95729041,2299.696918,4.983351692,3.938881785,541.7052945,65.66188977,4.892147273,100.7744112,97.2350443,18.43894552,123.2348262,7.496948242,1.025939331,2507.993214,5.819867529,423.2399491,2.003813474,0.321188802,1.045593262,2.196514057,22.63253955,5.999450684,27.55055355,45.07774526,1530.935873,0.016634667,1.690964194,133.7488827,1370.647897,6.945891098,0.37922205,242.2944019,281.2572638,2195.944139,3.086167584,0.369550809,4.104917504,14.35783982,1.318335262,78.60462031,19.49023438,11.1135054,1.870849609,3.27913677,80.80938865,9285.428675
Unknown24,Margin,1,Not infected,48,Not treated,3.0156001,1107.435272,34.83587933,2121.547029,5.43725041,4.196298072,420.2699811,50.74167274,5.602288906,94.94210525,88.21310878,16.70831815,130.0235891,7.496948242,1.025939331,2075.814447,7.66987459,402.1838614,2.113471014,0.379843086,1.045593262,2.13142887,20.43110466,5.999450684,24.77480857,46.57735627,1445.739116,0.066991359,1.602510778,130.5170941,1353.499507,6.910144526,0.272849687,244.7418644,272.9601735,2145.837916,3.468910628,0.248690408,3.814187092,10.31108236,1.097519365,78.60462031,19.49023438,12.19943458,1.870849609,4.759169904,78.33529461,9549.986415
Unknown25,Plaque,1,Not infected,48,Not treated,6.069644164,3072.556692,67.17042403,794.322441,8.775925193,13.46257398,675.9806946,217.0253746,11.39524297,309.4162445,167.0137252,21.88913121,61.78845077,7.496948242,1.252387031,4122.413003,10.92014505,164.4093764,2.551103351,1.058240724,0.593663984,2.294315374,26.17393063,5.999450684,43.9751586,75.22482635,2927.594757,0.016634667,2.797436559,567.2024938,734.1557991,21.06094294,0.704915336,574.3810731,264.4703301,5341.670634,6.241810064,0.288795006,6.278325829,11.1762863,5.377693868,116.7927419,25.53655766,10.01980313,1.870849609,2.949972362,53.16237804,25175.43084
